batch,episode,fault_type,ground_truth,detected,rank,gt_valid_fault,gt_fault_strength,gt_health,gt_score,gt_physics,gt_semantic,gt_is_primary,gt_temporal,gt_trace,gt_coverage,gt_max_severity,gt_degraded_pods,gt_total_pods,r1_node,r1_health,r1_score,r1_physics,r1_semantic,r1_is_primary,health_diff,physics_diff,score_diff,physics_type
batch_run_20251222_143334,data_20251222_143337,cpu_saturation,clinical_workflow_service,True,1,True,strong,10.0,110.0,0.5,30.0,True,0.0,0.0,0,0,0,4,clinical_workflow_service,10.0,110.0,0.5,30.0,True,0.0,0.0,0.0,direct_propagation
batch_run_20251222_143334,data_20251222_143416,memory_leak,clinical_workflow_service,True,1,True,moderate,4.9,39.61,0.0,20.0,True,0.0,0.0,0,0,0,4,clinical_workflow_service,4.9,39.61,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251222_143334,data_20251222_143459,memory_pressure,analytics_service,True,1,True,strong,10.0,70.0,0.0,20.0,True,0.0,0.0,0,0,0,6,analytics_service,10.0,70.0,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251222_143334,data_20251222_143542,memory_thrashing,patient_portal_service,True,1,True,moderate,3.31,28.26,0.0,20.0,True,0.0,0.0,0,0,0,3,patient_portal_service,3.31,28.26,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251222_143334,data_20251222_143623,thread_exhaustion,imaging_service,False,3,True,weak,2.63,14.58,0.0,8.0,True,0.0,0.0,0,0,0,3,audit_service,3.98,17.94,0.0,8.0,True,-1.35,0.0,-3.360000000000001,no_physics
batch_run_20251222_143334,data_20251222_143721,thread_exhaustion,patient_db,True,1,True,strong,10.0,70.0,0.0,20.0,True,0.0,0.0,0,0,0,0,patient_db,10.0,70.0,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251222_143334,data_20251222_143829,disk_io_saturation,clinical_db,True,1,True,strong,10.0,175.75,0.88,40.0,True,0.0,33.25,0,0,0,0,clinical_db,10.0,175.75,0.88,40.0,True,0.0,0.0,0.0,direct_propagation
batch_run_20251222_143334,data_20251222_143922,inject_latency,clinical_dashboard_service,True,1,True,strong,10.0,86.33,0.0,20.0,True,0.0,16.33,0,0,0,4,clinical_dashboard_service,10.0,86.33,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251222_143334,data_20251222_144018,inject_errors,mobile_api_service,True,1,True,moderate,3.45,28.63,0.0,20.0,True,0.0,0.0,0,0,0,3,mobile_api_service,3.45,28.63,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251222_143334,data_20251222_144057,cache_failure,records_cache,True,1,True,strong,10.0,170.2,0.8,40.0,True,0.0,32.2,0,0,0,0,records_cache,10.0,170.2,0.8,40.0,True,0.0,0.0,0.0,direct_propagation
batch_run_20251222_143334,data_20251222_144232,inject_latency,records_cache,False,None,False,weak,0,0,0,0,False,0,0,0,0,0,0,notification_service,1.7,4.25,0.0,0.0,False,-1.7,0.0,-4.25,unknown
batch_run_20251222_143334,data_20251222_144410,queue_consumer_slowdown,analytics_queue,False,3,False,weak,0.33,0.83,0.0,0.0,False,0.0,0.0,0,0,0,0,analytics_service,4.93,109.73,1.0,10.0,False,-4.6,-1.0,-108.9,no_physics
batch_run_20251222_143334,data_20251222_144547,inject_latency,insurance_api,True,1,True,strong,10.0,148.0,0.67,40.0,True,0.0,28.0,0,0,0,0,insurance_api,10.0,148.0,0.67,40.0,True,0.0,0.0,0.0,direct_propagation
batch_run_20251222_143334,data_20251222_144733,inject_errors,insurance_api,True,1,True,strong,10.0,130.0,0.67,40.0,True,0.0,0.0,0,0,0,0,insurance_api,10.0,130.0,0.67,40.0,True,0.0,0.0,0.0,direct_propagation
