batch,episode,fault_type,ground_truth,detected,rank,gt_valid_fault,gt_fault_strength,gt_health,gt_score,gt_physics,gt_semantic,gt_is_primary,gt_temporal,gt_trace,gt_coverage,gt_max_severity,gt_degraded_pods,gt_total_pods,r1_node,r1_health,r1_score,r1_physics,r1_semantic,r1_is_primary,health_diff,physics_diff,score_diff,physics_type
batch_run_20251224_011925,data_20251224_011929,cpu_saturation,clinical_dashboard_service,True,1,True,strong,10.0,80.36,0.29,0.0,False,0.0,7.5,0,0,0,4,clinical_dashboard_service,10.0,80.36,0.29,0.0,False,0.0,0.0,0.0,low_physics
batch_run_20251224_011925,data_20251224_012000,memory_leak,clinical_dashboard_service,True,1,True,strong,10.0,50.0,0.0,0.0,False,0.0,0.0,0,0,0,4,clinical_dashboard_service,10.0,50.0,0.0,0.0,False,0.0,0.0,0.0,no_physics
batch_run_20251224_011925,data_20251224_012041,memory_pressure,patient_records_service,True,1,True,strong,10.0,50.0,0.0,0.0,False,0.0,0.0,0,0,0,4,patient_records_service,10.0,50.0,0.0,0.0,False,0.0,0.0,0.0,no_physics
batch_run_20251224_011925,data_20251224_012123,memory_thrashing,patient_portal_service,True,1,True,moderate,4.03,28.12,0.0,12.0,True,0.0,0.0,0,0,0,3,patient_portal_service,4.03,28.12,0.0,12.0,True,0.0,0.0,0.0,no_physics
batch_run_20251224_011925,data_20251224_012202,thread_exhaustion,imaging_service,False,None,False,weak,0,0,0,0,False,0,0,0,0,0,0,audit_service,1.52,3.81,0.0,0.0,False,-1.52,0.0,-3.81,unknown
batch_run_20251224_011925,data_20251224_012241,thread_exhaustion,clinical_db,False,None,False,weak,0,0,0,0,False,0,0,0,0,0,0,clinical_workflow_service,10.0,139.35,0.44,30.0,True,-10.0,-0.44,-139.35,unknown
batch_run_20251224_011925,data_20251224_012435,inject_latency,audit_service,True,1,True,strong,10.0,90.0,0.5,0.0,False,0.0,0.0,0,0,0,3,audit_service,10.0,90.0,0.5,0.0,False,0.0,0.0,0.0,reverse_propagation
batch_run_20251224_011925,data_20251224_012518,inject_errors,mobile_api_service,True,1,True,moderate,4.28,137.14,1.0,40.0,True,0.0,0.0,0,0,0,3,mobile_api_service,4.28,137.14,1.0,40.0,True,0.0,0.0,0.0,reverse_propagation
batch_run_20251224_011925,data_20251224_012600,cache_failure,session_cache,True,1,True,strong,10.0,172.84,0.67,40.0,True,0.0,29.51,0,0,0,0,session_cache,10.0,172.84,0.67,40.0,True,0.0,0.0,0.0,direct_propagation
batch_run_20251224_011925,data_20251224_012735,inject_latency,records_cache,False,None,False,weak,0,0,0,0,False,0,0,0,0,0,0,patient_portal_service,1.35,3.38,0.0,0.0,False,-1.35,0.0,-3.38,unknown
batch_run_20251224_011925,data_20251224_012915,queue_consumer_slowdown,audit_queue,False,None,False,weak,0,0,0,0,False,0,0,0,0,0,0,audit_service,4.58,108.34,1.0,10.0,False,-4.58,-1.0,-108.34,unknown
batch_run_20251224_011925,data_20251224_013051,inject_latency,lab_results_api,True,1,True,strong,10.0,160.78,0.67,40.0,True,0.0,27.45,0,0,0,0,lab_results_api,10.0,160.78,0.67,40.0,True,0.0,0.0,0.0,direct_propagation
batch_run_20251224_011925,data_20251224_013208,inject_errors,insurance_api,True,1,True,strong,10.0,70.0,0.0,20.0,True,0.0,0.0,0,0,0,0,insurance_api,10.0,70.0,0.0,20.0,True,0.0,0.0,0.0,no_physics
batch_run_20251224_011925,data_20251224_013324,noisy_neighbor,mobile_api_service,False,4,True,moderate,3.33,32.56,0.0,12.0,True,0.0,5.56,0.3333333333333333,10.0,1,3,patient_portal_service,3.33,54.26,0.0,30.0,True,0.0,0.0,-21.699999999999996,hot_shard
batch_run_20251224_011925,data_20251224_013458,hot_shard,clinical_dashboard_service,False,2,True,weak,2.5,38.75,0.0,30.0,True,0.0,0.0,0.25,10.0,1,4,patient_portal_service,10.0,55.15,0.0,0.0,False,-7.5,0.0,-16.4,hot_shard
batch_run_20251224_011925,data_20251224_013637,network_partition,global_network,False,3,False,weak,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,0,0,mobile_api_service,1.66,4.15,0.0,0.0,False,-1.66,0.0,-4.15,no_physics
